TimeStamp,Continent,Country,City,AQI,PM 2.5,PM10,NO2
2025-04-02 17:26:22,Africa,Algeria,Batna,167,167,69,4.8
2025-04-02 17:28:22,Africa,Benin,Zou,31,9,16,5.1
2025-04-02 17:29:41,Africa,Cabo Verde,Sal,48,19,48,1
2025-04-02 17:29:43,Africa,Cabo Verde,Santiago,66,13,66,44.8
2025-04-02 17:29:49,Africa,Cabo Verde,São Vicente,53,53,25,1
2025-04-02 17:30:03,Africa,Cameroon,North,34,13,234.93,5.6
2025-04-02 17:31:45,Africa,"Congo, Democratic Republic of the",Kinshasa,93,93,39,6
2025-04-02 17:32:40,Africa,Cote d'Ivoire,Abidjan,90,90,63,4
2025-04-02 17:33:19,Africa,Egypt,Alexandria,18,18,9,1.6
2025-04-02 17:33:28,Africa,Egypt,Cairo,57,57,18,9
2025-04-02 17:33:42,Africa,Egypt,Giza,57,57,90,32
2025-04-02 17:34:50,Africa,Ethiopia,Addis Ababa,74,74,33,14
2025-04-02 17:35:58,Africa,Ghana,Savannah,27,26,27,3
2025-04-02 17:36:13,Africa,Guinea,Conakry,72,72,67,1
2025-04-02 17:36:52,Africa,Kenya,Embu,42,34,13,15
2025-04-02 17:37:07,Africa,Kenya,Kiambu,5,5,49,10
2025-04-02 17:37:40,Africa,Kenya,Nairobi,5,5,23.5,13
2025-04-02 17:39:27,Africa,Madagascar,Antananarivo,34,34,38,1
2025-04-02 17:39:47,Africa,Mali,Bamako,97,97,18.1,0.14
2025-04-02 17:40:38,Africa,Mauritius,Black River,28,28,43,5
2025-04-02 17:40:46,Africa,Mauritius,Moka,21,21,3,1.9
2025-04-02 17:40:53,Africa,Mauritius,Port Louis,51,51,32,7
2025-04-02 16:27:51,Asia,Afghanistan,Kabul,193,193,74,
2025-04-02 16:28:45,Asia,Armenia,Yerevan,44,44,32,12
2025-04-02 16:29:04,Asia,Bahrain,Muharraq,70,70,80,16
2025-04-02 16:29:13,Asia,Bangladesh,Dhaka,152,152,142,30
2025-04-02 16:29:59,Asia,Brunei,Belait,10,6,16,4
2025-04-02 16:30:04,Asia,Brunei,Tutong,17,10,16,4
2025-04-02 16:30:28,Asia,Cambodia,Phnom Penh,78,42,42,13
2025-04-02 16:30:44,Asia,Cambodia,Takeo,30,30,10,2.8
2025-04-02 16:30:49,Asia,China,Beijing,70,70,48,9.6
2025-04-02 16:30:51,Asia,China,Chongqing,91,91,49,17.4
2025-04-02 16:31:06,Asia,China,Henan,151,151,74,39.8
2025-04-02 16:31:08,Asia,China,Hong Kong,63,63,20,35.9
2025-04-02 16:31:18,Asia,China,Jilin,161,161,69,25.6
2025-04-02 16:31:22,Asia,China,Macau,89,89,39,12.4
2025-04-02 16:31:30,Asia,China,Shanghai,157,157,66,14.2
2025-04-02 16:31:35,Asia,China,Tianjin,95,95,54,24.3
2025-04-02 16:31:44,Asia,Cyprus,Nicosia,117,117,97,12.5
2025-04-02 16:31:46,Asia,Cyprus,Limassol,153,153,148,6.8
2025-04-02 16:31:47,Asia,Cyprus,Larnaca,105,93,105,3.2
2025-04-02 16:31:49,Asia,Cyprus,Paphos,95,92,95,10.5
2025-04-02 16:31:51,Asia,Cyprus,Famagusta,90,90,88,8.4
2025-04-02 16:31:53,Asia,Cyprus,Kyrenia,117,117,97,12.5
2025-04-02 16:32:03,Asia,East Timor (Timor-Leste),Dili,144,144,93,65.7
2025-04-02 16:32:23,Asia,India,Bihar,154,154,96,3.6
2025-04-02 16:33:09,Asia,India,Chandigarh,123,123,75,24.5
2025-04-02 16:33:15,Asia,India,Delhi,151,151,118,57
2025-04-02 16:33:17,Asia,India,Puducherry,40,40,22,2.5
2025-04-02 16:33:25,Asia,Indonesia,Bali,155,155,73,171.7
2025-04-02 16:33:30,Asia,Indonesia,Bengkulu,42,42,46,11
2025-04-02 16:33:44,Asia,Indonesia,Jakarta,34,34,29,8
2025-04-02 16:33:46,Asia,Indonesia,Jambi,45,45,26,11
2025-04-02 16:34:19,Asia,Indonesia,Yogyakarta,62,62,29,8
2025-04-02 16:34:21,Asia,Iran,Tehran,68,68,59,34
2025-04-02 16:34:23,Asia,Iran,Isfahan,56,56,55,24
2025-04-02 16:34:26,Asia,Iran,Kerman,54,54,67,18
2025-04-02 16:34:35,Asia,Iran,Qom,50,16,50,93
2025-04-02 16:34:39,Asia,Iran,Yazd,43,17,43,73
2025-04-02 16:34:45,Asia,Iraq,Baghdad,95,95,65,14
2025-04-02 16:34:47,Asia,Iraq,Basra,60,110,60,34
2025-04-02 16:35:15,Asia,Japan,Kanto,26,19,26,44
2025-04-02 16:35:26,Asia,Japan,Okinawa,21,21,10,3.8
2025-04-02 16:35:28,Asia,Jordan,Amman,18,24,18,6
2025-04-02 16:35:29,Asia,Jordan,Irbid,28,14,28,5.9
2025-04-02 16:35:31,Asia,Jordan,Zarqa,52,17,52,6
2025-04-02 16:35:33,Asia,Jordan,Madaba,25,25,64,16
2025-04-02 16:35:42,Asia,Jordan,Aqaba,26,19,42,4.7
2025-04-02 16:35:44,Asia,Kazakhstan,Almaty,5,23,85,0.5
2025-04-02 16:35:45,Asia,Kazakhstan,Akmola,12,18,43,27.2
2025-04-02 16:36:05,Asia,Kuwait,Hawalli,83,83,58,8.5
2025-04-02 16:36:07,Asia,Kuwait,Al Farwaniyah,91,91,62,28.4
2025-04-02 16:36:09,Asia,Kuwait,Al Jahra,111,87,111,21.8
2025-04-02 16:36:12,Asia,Kuwait,Ahmadi,139,139,38,11.9
2025-04-02 16:36:14,Asia,Kyrgyzstan,Bishkek,80,80,37,9
2025-04-02 16:36:27,Asia,Kyrgyzstan,Talas,25,14,17,6.1
2025-04-02 16:37:04,Asia,Lebanon,Mount Lebanon,-,47,23,23.96
2025-04-02 16:37:12,Asia,Malaysia,Johor,43,13,28,6
2025-04-02 16:37:18,Asia,Malaysia,Malacca,36,27,16,12
2025-04-02 16:37:25,Asia,Malaysia,Perlis,32,11,30,6
2025-04-02 16:37:27,Asia,Malaysia,Penang,62,12,28,6
2025-04-02 16:37:33,Asia,Malaysia,Selangor,36,13,28,6
2025-04-02 16:38:05,Asia,Mongolia,Ulaanbaatar,68,18,68,58
2025-04-02 16:38:45,Asia,Myanmar (Burma),Chin,165,165,66,42.5
2025-04-02 16:38:55,Asia,Myanmar (Burma),Mon,40,30,26,2.8
2025-04-02 16:39:00,Asia,Myanmar (Burma),Shan,74,74,40,22.4
2025-04-02 16:39:04,Asia,Myanmar (Burma),Yangon,153,153,66,7
2025-04-02 16:41:02,Asia,Saudi Arabia,Riyadh,33,23,33,12
2025-04-02 16:41:04,Asia,Saudi Arabia,Mecca,37,38,37,6
2025-04-02 16:41:06,Asia,Saudi Arabia,Medina,18,20,8,3
